
DATA_PATH, n, d, k: /home/hrgat/Namizje/Shudian/2021.0096-master/src/clustering_c++/git_instances/zelnik1.txt 299 2 3
LOG_PATH: /home/hrgat/Namizje/Shudian/2021.0096-master/src/clustering_c++/git_instances_results/zelnik1_3.txt

BRANCH_AND_BOUND_TOL: 0.0001
BRANCH_AND_BOUND_PARALLEL: 2
BRANCH_AND_BOUND_MAX_NODES: 100
BRANCH_AND_BOUND_VISITING_STRATEGY: 0

SDP_SOLVER_SESSION_THREADS_ROOT: 24
SDP_SOLVER_SESSION_THREADS: 24
SDP_SOLVER_FOLDER: /home/hrgat/Namizje/Shudian/SDPNAL+v1.0/
SDP_SOLVER_TOL: 1e-05
SDP_SOLVER_VERBOSE: 1
SDP_SOLVER_MAX_CP_ITER_ROOT: 40
SDP_SOLVER_MAX_CP_ITER: 20
SDP_SOLVER_CP_TOL: 1e-05
SDP_SOLVER_MAX_INEQ: 100000
SDP_SOLVER_INHERIT_PERC: 1
SDP_SOLVER_EPS_INEQ: 0.0001
SDP_SOLVER_EPS_ACTIVE: 1e-06
SDP_SOLVER_MAX_PAIR_INEQ: 100000
SDP_SOLVER_PAIR_PERC: 0.05
SDP_SOLVER_MAX_TRIANGLE_INEQ: 100000
SDP_SOLVER_TRIANGLE_PERC: 0.05

KMEANS_SDP_BASED: 1
KMEANS_MAX_ITER: 100
KMEANS_N_START: 50
KMEANS_VERBOSE: 0


|    N| NODE_PAR|    NODE|      LB_PAR|          LB|  FLAG|  TIME (s)| CP_ITER| CP_FLAG|   CP_INEQ|     PAIR  TRIANGLE    CLIQUE|         GUB|     I      J|     NODE_GAP|          GAP|  OPEN|
|  298|       18|      34|      6.8705|      6.8808|     0|       547|       6|      -3|      8722|        0      2581       298|     6.88992|   254    260|   0.00132314|   0.00276461|    33|
|  297|       13|      35|     6.87087|     6.87576|     0|       478|       2|       3|     13872|        0      5000       297|     6.88992|   212    217|    0.0020547|   0.00262551|    34|
|  298|       13|      36|     6.87087|     6.88004|     0|       454|       3|      -3|     13225|        0      3134       298|     6.88992|   212    217|   0.00143333|   0.00262551|    35|
|  297|       17|      37|     6.87183|     6.88268|     0|       473|       4|      -3|     10215|        0      2710       297|     6.88992|   202    286|   0.00105053|   0.00233523|    36|
|  296|       17|      38|     6.87183|     6.88057|     0|       643|       4|      -3|     10970|       10      2970       296|     6.88992|   202    286|   0.00135646|   0.00233523|    37|
|  297|       33|      39|     6.87383|      6.8818|     0|       373|       2|      -3|     13098|        0      5000       297|     6.88992|   216    222|   0.00117739|    0.0022497|    38|
|  296|       33|      40|     6.87383|     6.87696|     0|       641|       4|      -3|     13233|        5      3820       296|     6.88992|   216    222|   0.00187985|    0.0022497|    39|
|  296|       24|      41|     6.87441|     6.88741|     0|       606|       4|      -3|     10427|        0      2728       296|     6.88992|   272    278|  0.000363484|   0.00222304|    40|
|  295|       24|      42|     6.87441|     6.88261|     0|       980|       5|       3|     10658|      4.2      3258       295|     6.88992|   272    278|   0.00106087|   0.00222304|    41|
|  296|       22|      43|      6.8746|     6.88522|     0|       553|       4|      -3|     11235|        0      2880       296|     6.88992|   267    277|  0.000681017|   0.00219273|    42|
|  295|       27|      44|     6.87481|     6.88929|     0|       683|       4|       2|     13850|     5.25      5000       295|     6.88992|   248    260|  9.13785e-05|   0.00219273|    43|
|  295|       22|      45|      6.8746|     6.88469|     0|       948|       4|      -3|     14789|     6.25      3895       295|     6.88992|   267    277|  0.000758845|   0.00218307|    42|
|  296|       27|      46|     6.87481|       6.884|     0|       427|       3|      -3|     13830|        0      3501       296|     6.88992|   248    260|  0.000857808|   0.00218307|    43|
|  297|       31|      47|     6.87487|     6.87781|     0|       873|       5|      -3|      9080|      3.8      3105       297|     6.88992|   216    222|   0.00175666|   0.00208441|    44|
|  298|       31|      48|     6.87487|       6.883|     0|       694|       6|      -3|      8202|        0      1763       298|     6.88992|   216    222|   0.00100357|   0.00208441|    45|
|  298|       32|      49|     6.87555|     6.87833|     0|       502|       3|      -3|     12920|        0      3415       298|     6.88992|   219    222|   0.00168177|    0.0020547|    46|
|  299|       32|      50|     6.87555|     6.88296|     0|       399|       2|      -3|     12556|        0      5000       299|     6.88992|   219    222|   0.00100932|    0.0020547|    47|
|  297|       35|      51|     6.87576|     6.88976|     0|       537|       3|       2|     10600|        0      4068       297|     6.88992|   281    284|  2.29966e-05|    0.0019789|    48|
|  296|       35|      52|     6.87576|     6.88139|     0|       676|       4|      -3|     10526|        0      2760       296|     6.88992|   281    284|   0.00123717|    0.0019789|    47|
|  297|       30|      53|     6.87628|     6.87904|     0|       754|       6|      -3|      9020|        2      2654       297|     6.88992|   274    279|   0.00157899|   0.00187985|    48|
|  298|       30|      54|     6.87628|      6.8837|     0|       595|       3|      -3|     13246|        0      3677       298|     6.88992|   274    279|  0.000901578|   0.00187985|    49|
|  295|       40|      55|     6.87696|      6.8791|     0|       537|       2|       3|     13582|        0      5000       295|     6.88992|   199    250|   0.00156998|   0.00181769|    50|
|  296|       40|      56|     6.87696|     6.88374|     0|       593|       4|      -3|      9131|        0      2681       296|     6.88992|   199    250|  0.000896696|   0.00181769|    51|
|  297|       29|      57|     6.87739|      6.8849|     0|       663|       4|      -3|      9853|        0      2473       297|     6.88992|   208    214|  0.000727207|   0.00175666|    52|
|  296|       29|      58|     6.87739|      6.8859|     0|       861|       6|      -3|      9972| 0.333333      2217       296|     6.88992|   208    214|   0.00058336|   0.00175666|    53|
|  296|       47|      59|     6.87781|     6.88094|     0|       469|       3|      -3|     11037|        0      2694       296|     6.88992|   253    261|   0.00130219|   0.00168177|    54|
|  297|       47|      60|     6.87781|     6.88556|     0|       514|       4|      -3|     11668|     1.25      3585       297|     6.88992|   253    261|  0.000632131|   0.00168177|    55|
|  298|       49|      61|     6.87833|     6.88354|     0|       497|       4|      -3|      8126|        0      1390       298|     6.88992|   189    285|  0.000925626|   0.00164427|    56|
|  297|       49|      62|     6.87833|     6.88577|     0|      1003|       6|      -3|      9454|        0      3618       297|     6.88992|   189    285|  0.000601645|   0.00164427|    57|
|  297|       19|      63|     6.87859|     6.89282|     0|       267|       1|       2|     14549|        0      5000       297|     6.88992|   284    289| -0.000421457|   0.00161279|    58|
|  295|       20|      64|      6.8788|     6.89005|     0|       111|       0|       2|     11480|        0         0         0|     6.88992|   258    275| -2.00312e-05|   0.00161279|    57|
|  296|       19|      65|     6.87859|     6.88515|     0|       719|       5|      -3|     11992|        2      3259       296|     6.88992|   284    289|  0.000691966|   0.00159221|    56|
|  296|       20|      66|      6.8788|     6.88948|     0|       436|       3|       2|     12568|        0      3842       296|     6.88992|   258    275|  6.25809e-05|   0.00159221|    57|
|  297|       26|      67|     6.87895|     6.88485|     0|       681|       5|       3|      9694|      0.4      3013       297|     6.88992|   169    281|  0.000735789|   0.00158832|    56|
|  298|       26|      68|     6.87895|     6.88528|     0|       486|       4|      -3|      9167|        0      1610       298|     6.88992|   169    281|  0.000673289|   0.00158832|    57|
|  297|       28|      69|     6.87897|     6.89048|     0|       200|       1|       2|     13125|        0      5000       297|     6.88992|   280    285| -8.15066e-05|   0.00157899|    58|
|  296|       28|      70|     6.87897|     6.88299|     0|       394|       2|       3|     13550|        0      5000       296|     6.88992|   280    285|   0.00100529|   0.00157899|    57|
|  296|       53|      71|     6.87904|     6.88861|     0|       665|       4|      -3|     12138|        0      3450       296|     6.88992|   205    212|  0.000189992|   0.00156998|    58|
|  297|       53|      72|     6.87904|     6.88752|     0|       493|       3|      -3|     13069|        0      3410       297|     6.88992|   205    212|   0.00034803|   0.00156998|    59|
|  294|       55|      73|      6.8791|     6.88503|     0|       632|       3|      -3|     12985|       13      3376       294|     6.88992|   210    284|   0.00070925|   0.00143333|    60|
|  295|       55|      74|      6.8791|     6.88571|     0|       558|       4|      -3|      9658|        0      2650       295|     6.88992|   210    284|  0.000610603|   0.00143333|    61|
|  298|       36|      75|     6.88004|     6.88582|     0|       632|       3|      -3|      9319|        0      1886       298|     6.88992|   172    282|  0.000593788|    0.0013935|    62|
|  297|       36|      76|     6.88004|     6.88658|     0|       800|       5|      -3|     10116|      0.6      3337       297|     6.88992|   172    282|  0.000483847|    0.0013935|    63|
|  296|       23|      77|     6.88031|     6.88555|     0|       610|       5|       3|      8911|        2      2407       296|     6.88992|   183    277|  0.000633102|   0.00139244|    64|
|  297|       23|      78|     6.88031|     6.88391|     0|       335|       2|      -3|     13708|        0      3003       297|     6.88992|   183    277|   0.00087174|   0.00139244|    65|
|  297|       21|      79|     6.88032|     6.89049|     0|       299|       1|       2|     14153|        0      5000       297|     6.88992|   241    248| -8.29515e-05|   0.00135646|    66|
|  296|       21|      80|     6.88032|        6.89|     0|       315|       2|       2|     14196|      3.5      5000       296|     6.88992|   241    248| -1.26614e-05|   0.00135646|    65|
|  296|       38|      81|     6.88057|     6.89017|     0|       256|       1|       2|     13331|        0      5000       296|     6.88992|   252    259| -3.76301e-05|   0.00132314|    64|
|  298|       34|      82|      6.8808|     6.88398|     0|       393|       4|       3|      8309|        0      1466       298|     6.88992|   222    240|  0.000862018|   0.00132314|    63|
|  295|       38|      83|     6.88057|     6.88481|     0|       659|       3|      -3|     13673|  2.33333      3467       295|     6.88992|   252    259|  0.000740569|    0.0013192|    64|
|  297|       34|      84|      6.8808|     6.88812|     0|       458|       4|      -3|      9929|      9.5      3143       297|     6.88992|   222    240|  0.000260364|    0.0013192|    65|
|  297|       25|      85|     6.88083|     6.88913|     0|       544|       3|      -3|     10440|        0      2222       297|     6.88992|   276    286|  0.000114545|   0.00130219|    66|
|  296|       25|      86|     6.88083|     6.89004|     0|       299|       1|       2|     13405|       19      5000       296|     6.88992|   276    286| -1.78208e-05|   0.00130219|    67|
|  296|       59|      87|     6.88094|     6.88468|     0|       319|       1|       3|     12779|        0      5000       296|     6.88992|   184    284|  0.000760346|   0.00123717|    66|
|  295|       52|      88|     6.88139|     6.89019|     0|       354|       1|       2|     13185|        8      5000       295|     6.88992|   212    221| -3.97082e-05|   0.00123717|    67|
|  296|       52|      89|     6.88139|     6.88932|     0|       145|       0|       2|     10526|        0         0         0|     6.88992|   212    221|  8.66101e-05|   0.00117739|    66|
|  295|       59|      90|     6.88094|     6.88446|     0|       656|       5|      -3|      8322|      0.4      2899       295|     6.88992|   184    284|  0.000792245|   0.00117739|    65|
|  297|       39|      91|      6.8818|     6.88608|     0|       555|       3|       3|      8641|        0      3463       297|     6.88992|   179    286|  0.000556728|   0.00106087|    66|
|  296|       39|      92|      6.8818|     6.88598|     0|       738|       5|       3|      8238|      0.8      3297       296|     6.88992|   179    286|   0.00057088|   0.00106087|    67|
|  295|       42|      93|     6.88261|     6.88977|     0|       192|       0|       2|     10658|        0         0         0|     6.88992|   271    278|  2.13833e-05|   0.00105053|    68|
|  294|       42|      94|     6.88261|     6.88926|     0|       791|       3|       2|     12632|  8.33333      4254       294|     6.88992|   271    278|   9.5574e-05|   0.00105053|    67|
|  296|       37|      95|     6.88268|     6.88514|     0|       417|       3|      -3|     13977|        0      3385       296|     6.88992|   199    256|  0.000693708|   0.00100932|    66|
|  297|       37|      96|     6.88268|     6.88896|     0|       480|       4|      -3|      9658|        0      2516       297|     6.88992|   199    256|  0.000138229|   0.00100932|    67|
|  299|       50|      97|     6.88296|     6.88935|     0|       533|       2|       2|     11694|        0      5000       299|     6.88992|   253    254|   8.2117e-05|   0.00100529|    68|
|  295|       70|      98|     6.88299|     6.88939|     0|       482|       1|       2|     13086|        0      5000       295|     6.88992|   176    283|  7.63668e-05|   0.00100529|    67|
|  298|       50|      99|     6.88296|     6.88568|     0|       589|       4|      -3|      9928|        0      3229       298|     6.88992|   253    254|  0.000614504|   0.00100357|    66|
|  298|       48|     100|       6.883|     6.88576|     0|       246|       1|      -3|      8202|        0      5000       298|     6.88992|    92    221|  0.000603197|   0.00100357|    67|
|  296|       70|     101|     6.88299|     6.89023|     0|       323|       1|       2|     13044|        0      5000       296|     6.88992|   176    283| -4.57984e-05|   0.00100357|    69|

WALL_TIME: 31002 sec
N_NODES: 102
AVG_INEQ: 3631.06
AVG_CP_ITER: 4.23529
ROOT_GAP: 0.0140012
GAP: 0.00100357
BEST: 6.88992

[matrix size: 299x3; n_nonzero: 299; density: 33.3%]

      (0, 0)          1.0000
      (1, 0)          1.0000
      (2, 0)          1.0000
      (3, 0)          1.0000
      (4, 0)          1.0000
      (5, 0)          1.0000
      (6, 0)          1.0000
      (7, 0)          1.0000
      (8, 0)          1.0000
      (9, 0)          1.0000
     (10, 0)          1.0000
     (11, 0)          1.0000
     (12, 0)          1.0000
     (13, 0)          1.0000
     (14, 0)          1.0000
     (15, 0)          1.0000
     (16, 0)          1.0000
     (17, 0)          1.0000
     (18, 0)          1.0000
     (19, 0)          1.0000
     (20, 0)          1.0000
     (21, 0)          1.0000
     (22, 0)          1.0000
     (23, 0)          1.0000
     (24, 0)          1.0000
     (25, 0)          1.0000
     (26, 0)          1.0000
     (27, 0)          1.0000
     (28, 0)          1.0000
     (29, 0)          1.0000
     (30, 0)          1.0000
     (31, 0)          1.0000
     (32, 0)          1.0000
     (33, 0)          1.0000
     (34, 0)          1.0000
     (35, 0)          1.0000
     (36, 0)          1.0000
     (37, 0)          1.0000
     (38, 0)          1.0000
     (39, 0)          1.0000
     (40, 0)          1.0000
     (41, 0)          1.0000
     (42, 0)          1.0000
     (43, 0)          1.0000
     (44, 0)          1.0000
     (45, 0)          1.0000
     (46, 0)          1.0000
     (47, 0)          1.0000
     (48, 0)          1.0000
     (49, 0)          1.0000
     (50, 0)          1.0000
     (51, 0)          1.0000
     (52, 0)          1.0000
     (53, 0)          1.0000
     (54, 0)          1.0000
     (55, 0)          1.0000
     (56, 0)          1.0000
     (57, 0)          1.0000
     (58, 0)          1.0000
     (59, 0)          1.0000
     (60, 0)          1.0000
    (122, 0)          1.0000
    (123, 0)          1.0000
    (124, 0)          1.0000
    (125, 0)          1.0000
    (126, 0)          1.0000
    (127, 0)          1.0000
    (128, 0)          1.0000
    (129, 0)          1.0000
    (130, 0)          1.0000
    (131, 0)          1.0000
    (132, 0)          1.0000
    (133, 0)          1.0000
    (134, 0)          1.0000
    (135, 0)          1.0000
    (137, 0)          1.0000
    (138, 0)          1.0000
    (139, 0)          1.0000
    (140, 0)          1.0000
    (141, 0)          1.0000
    (142, 0)          1.0000
    (143, 0)          1.0000
    (144, 0)          1.0000
    (145, 0)          1.0000
    (146, 0)          1.0000
    (147, 0)          1.0000
    (148, 0)          1.0000
    (149, 0)          1.0000
    (150, 0)          1.0000
    (151, 0)          1.0000
    (152, 0)          1.0000
    (153, 0)          1.0000
    (154, 0)          1.0000
    (155, 0)          1.0000
    (156, 0)          1.0000
    (157, 0)          1.0000
    (158, 0)          1.0000
    (159, 0)          1.0000
    (160, 0)          1.0000
    (161, 0)          1.0000
    (162, 0)          1.0000
    (163, 0)          1.0000
    (164, 0)          1.0000
    (165, 0)          1.0000
    (166, 0)          1.0000
    (167, 0)          1.0000
    (168, 0)          1.0000
    (169, 0)          1.0000
    (170, 0)          1.0000
    (171, 0)          1.0000
    (172, 0)          1.0000
    (173, 0)          1.0000
    (174, 0)          1.0000
    (175, 0)          1.0000
    (176, 0)          1.0000
    (178, 0)          1.0000
    (199, 0)          1.0000
    (246, 0)          1.0000
    (247, 0)          1.0000
    (248, 0)          1.0000
    (249, 0)          1.0000
    (250, 0)          1.0000
    (251, 0)          1.0000
    (252, 0)          1.0000
    (253, 0)          1.0000
    (254, 0)          1.0000
    (255, 0)          1.0000
    (256, 0)          1.0000
    (257, 0)          1.0000
    (258, 0)          1.0000
    (259, 0)          1.0000
    (260, 0)          1.0000
    (261, 0)          1.0000
    (262, 0)          1.0000
    (263, 0)          1.0000
    (264, 0)          1.0000
    (265, 0)          1.0000
    (266, 0)          1.0000
    (267, 0)          1.0000
    (268, 0)          1.0000
    (269, 0)          1.0000
    (270, 0)          1.0000
    (271, 0)          1.0000
    (272, 0)          1.0000
    (273, 0)          1.0000
    (274, 0)          1.0000
    (275, 0)          1.0000
    (276, 0)          1.0000
    (277, 0)          1.0000
    (278, 0)          1.0000
     (61, 1)          1.0000
     (62, 1)          1.0000
     (63, 1)          1.0000
     (64, 1)          1.0000
     (65, 1)          1.0000
     (66, 1)          1.0000
     (67, 1)          1.0000
     (68, 1)          1.0000
     (69, 1)          1.0000
     (70, 1)          1.0000
     (71, 1)          1.0000
     (72, 1)          1.0000
     (73, 1)          1.0000
     (74, 1)          1.0000
     (75, 1)          1.0000
     (76, 1)          1.0000
     (77, 1)          1.0000
     (78, 1)          1.0000
     (79, 1)          1.0000
     (81, 1)          1.0000
    (136, 1)          1.0000
    (177, 1)          1.0000
    (179, 1)          1.0000
    (180, 1)          1.0000
    (181, 1)          1.0000
    (182, 1)          1.0000
    (183, 1)          1.0000
    (184, 1)          1.0000
    (185, 1)          1.0000
    (186, 1)          1.0000
    (187, 1)          1.0000
    (188, 1)          1.0000
    (189, 1)          1.0000
    (190, 1)          1.0000
    (191, 1)          1.0000
    (192, 1)          1.0000
    (193, 1)          1.0000
    (194, 1)          1.0000
    (195, 1)          1.0000
    (196, 1)          1.0000
    (197, 1)          1.0000
    (198, 1)          1.0000
    (200, 1)          1.0000
    (201, 1)          1.0000
    (202, 1)          1.0000
    (203, 1)          1.0000
    (204, 1)          1.0000
    (205, 1)          1.0000
    (206, 1)          1.0000
    (207, 1)          1.0000
    (208, 1)          1.0000
    (209, 1)          1.0000
    (210, 1)          1.0000
    (211, 1)          1.0000
    (212, 1)          1.0000
    (279, 1)          1.0000
    (280, 1)          1.0000
    (281, 1)          1.0000
    (282, 1)          1.0000
    (283, 1)          1.0000
    (284, 1)          1.0000
    (285, 1)          1.0000
    (286, 1)          1.0000
    (287, 1)          1.0000
    (288, 1)          1.0000
    (289, 1)          1.0000
    (290, 1)          1.0000
    (291, 1)          1.0000
    (292, 1)          1.0000
    (293, 1)          1.0000
    (294, 1)          1.0000
    (295, 1)          1.0000
    (296, 1)          1.0000
    (297, 1)          1.0000
    (298, 1)          1.0000
     (80, 2)          1.0000
     (82, 2)          1.0000
     (83, 2)          1.0000
     (84, 2)          1.0000
     (85, 2)          1.0000
     (86, 2)          1.0000
     (87, 2)          1.0000
     (88, 2)          1.0000
     (89, 2)          1.0000
     (90, 2)          1.0000
     (91, 2)          1.0000
     (92, 2)          1.0000
     (93, 2)          1.0000
     (94, 2)          1.0000
     (95, 2)          1.0000
     (96, 2)          1.0000
     (97, 2)          1.0000
     (98, 2)          1.0000
     (99, 2)          1.0000
    (100, 2)          1.0000
    (101, 2)          1.0000
    (102, 2)          1.0000
    (103, 2)          1.0000
    (104, 2)          1.0000
    (105, 2)          1.0000
    (106, 2)          1.0000
    (107, 2)          1.0000
    (108, 2)          1.0000
    (109, 2)          1.0000
    (110, 2)          1.0000
    (111, 2)          1.0000
    (112, 2)          1.0000
    (113, 2)          1.0000
    (114, 2)          1.0000
    (115, 2)          1.0000
    (116, 2)          1.0000
    (117, 2)          1.0000
    (118, 2)          1.0000
    (119, 2)          1.0000
    (120, 2)          1.0000
    (121, 2)          1.0000
    (213, 2)          1.0000
    (214, 2)          1.0000
    (215, 2)          1.0000
    (216, 2)          1.0000
    (217, 2)          1.0000
    (218, 2)          1.0000
    (219, 2)          1.0000
    (220, 2)          1.0000
    (221, 2)          1.0000
    (222, 2)          1.0000
    (223, 2)          1.0000
    (224, 2)          1.0000
    (225, 2)          1.0000
    (226, 2)          1.0000
    (227, 2)          1.0000
    (228, 2)          1.0000
    (229, 2)          1.0000
    (230, 2)          1.0000
    (231, 2)          1.0000
    (232, 2)          1.0000
    (233, 2)          1.0000
    (234, 2)          1.0000
    (235, 2)          1.0000
    (236, 2)          1.0000
    (237, 2)          1.0000
    (238, 2)          1.0000
    (239, 2)          1.0000
    (240, 2)          1.0000
    (241, 2)          1.0000
    (242, 2)          1.0000
    (243, 2)          1.0000
    (244, 2)          1.0000
    (245, 2)          1.0000

