
DATA_PATH, n, d, k: /home/hrgat/Namizje/Shudian/2021.0096-master/src/clustering_c++/git_instances/ecoli.txt 336 7 8
LOG_PATH: /home/hrgat/Namizje/Shudian/2021.0096-master/src/clustering_c++/git_instances_results/ecoli_8.txt

BRANCH_AND_BOUND_TOL: 0.0001
BRANCH_AND_BOUND_PARALLEL: 2
BRANCH_AND_BOUND_MAX_NODES: 100
BRANCH_AND_BOUND_VISITING_STRATEGY: 0

SDP_SOLVER_SESSION_THREADS_ROOT: 24
SDP_SOLVER_SESSION_THREADS: 24
SDP_SOLVER_FOLDER: /home/hrgat/Namizje/Shudian/SDPNAL+v1.0/
SDP_SOLVER_TOL: 1e-05
SDP_SOLVER_VERBOSE: 1
SDP_SOLVER_MAX_CP_ITER_ROOT: 40
SDP_SOLVER_MAX_CP_ITER: 20
SDP_SOLVER_CP_TOL: 1e-05
SDP_SOLVER_MAX_INEQ: 100000
SDP_SOLVER_INHERIT_PERC: 1
SDP_SOLVER_EPS_INEQ: 0.0001
SDP_SOLVER_EPS_ACTIVE: 1e-06
SDP_SOLVER_MAX_PAIR_INEQ: 100000
SDP_SOLVER_PAIR_PERC: 0.05
SDP_SOLVER_MAX_TRIANGLE_INEQ: 100000
SDP_SOLVER_TRIANGLE_PERC: 0.05

KMEANS_SDP_BASED: 1
KMEANS_MAX_ITER: 100
KMEANS_N_START: 50
KMEANS_VERBOSE: 0


|    N| NODE_PAR|    NODE|      LB_PAR|          LB|  FLAG|  TIME (s)| CP_ITER| CP_FLAG|   CP_INEQ|     PAIR  TRIANGLE    CLIQUE|         GUB|     I      J|     NODE_GAP|          GAP|  OPEN|
|  334|       29|      32|     13.8438|     13.8482|     0|       386|       0|       2|      8630|        0         0         0|      13.848|    83     90| -1.15334e-05|  0.000307178|    15|
|  332|       30|      33|     13.8438|     13.8458|     0|       537|       3|      -3|      7972|  69.6667      5000       332|      13.848|    82     89|  0.000159548|  0.000307178|    14|
|  333|       30|      34|     13.8438|     13.8477|     0|       581|       3|       2|      8266|  61.6667      5000       333|      13.848|    82     89|  2.38133e-05|  0.000307178|    15|
|  333|       29|      35|     13.8438|      13.848|     0|       496|       2|       2|      8056|     63.5      5000       333|      13.848|    83     90|  3.82726e-06|    0.0003036|    14|
|  335|       10|      36|     13.8438|     13.8475|     0|       103|       0|       2|      4280|        0         0         0|      13.848|   105    116|  3.83631e-05|    0.0003036|    13|
|  334|       10|      37|     13.8438|     13.8438|     0|       251|       2|      -3|      8541|       50      5000       334|      13.848|   105    116|    0.0003036|  0.000254004|    12|
|  332|       28|      38|     13.8438|     13.8448|     0|       657|       4|      -3|      4504|    22.75      2947       332|      13.848|    31     55|  0.000235624|    0.0003036|    13|
|  334|       37|      39|     13.8438|      13.847|     0|       290|       0|       2|      8541|        0         0         0|      13.848|    35    105|  7.30669e-05|  0.000254004|    14|
|  333|       37|      40|     13.8438|     13.8516|     0|       379|       2|       2|      8140|     52.5      5000       333|      13.848|    35    105|  -0.00025868|  0.000254004|    13|
|  335|        4|      41|     13.8445|     13.8458|     0|       367|       2|      -3|      4367|        0     612.5       335|      13.848|    50    129|  0.000161915|  0.000237614|    12|
|  335|        9|      42|     13.8447|     13.8479|     0|       318|       2|       2|      6659|        0      3905       335|      13.848|    96    116|  1.11043e-05|  0.000237614|    13|
|  334|        4|      43|     13.8445|     13.8445|     0|       696|       3|      -3|     10092|  3.33333      5000       334|      13.848|    50    129|  0.000254004|  0.000235624|    12|
|  334|        9|      44|     13.8447|     13.8447|     0|       222|       1|      -3|      5524|       41      5000       334|      13.848|    96    116|  0.000237614|  0.000254004|    13|
|  334|       43|      45|     13.8445|     13.8445|     0|       431|       1|      -3|     10092|        0      4585       334|      13.848|    35     42|  0.000254004|  0.000237614|    14|
|  333|       43|      46|     13.8445|     13.8468|     0|       454|       1|       2|      9296|        1      5000       333|      13.848|    35     42|   8.6274e-05|  0.000254004|    15|
|  333|       45|      47|     13.8445|     13.8451|     0|       404|       2|      -3|      5920|       45      3320       333|      13.848|    32     94|   0.00021301|  0.000237614|    14|
|  334|       45|      48|     13.8445|     13.8452|     0|       505|       3|      -3|      4430|  16.6667      3191       334|      13.848|    32     94|  0.000200539|  0.000237614|    15|
|  334|       44|      49|     13.8447|     13.8479|     0|       356|       2|       2|      8385|       21      5000       334|      13.848|    42     44|  9.76282e-06|  0.000235624|    16|
|  333|       44|      50|     13.8447|     13.8461|     0|       519|       3|      -3|      8450|       14      3630       333|      13.848|    42     44|  0.000141725|  0.000235624|    15|
|  332|       38|      51|     13.8448|     13.8459|     0|       240|       1|      -3|      4504|        0      5000       332|      13.848|    82    131|  0.000156421|  0.000223602|    16|
|  331|       27|      52|     13.8449|     13.8458|     0|       317|       2|      -3|      8461|     51.5      4219       331|      13.848|    81    113|   0.00015798|  0.000223602|    17|
|  331|       38|      53|     13.8448|     13.8456|     0|       475|       7|      -3|      2612|  10.4286      2469       331|      13.848|    82    131|  0.000174321|   0.00021301|    18|
|  330|       27|      54|     13.8449|     13.8449|     0|       328|       3|      -3|      7732|      121      5000       330|      13.848|    81    113|  0.000223602|   0.00021301|    19|
|  333|       47|      55|     13.8451|     13.8451|     0|       297|       1|      -3|      5920|       90      5000       333|      13.848|    66     83|   0.00021301|  0.000223602|    20|
|  330|       54|      56|     13.8449|     13.8481|     0|       334|       2|       2|      4320|      0.5      3233       330|      13.848|    81    130| -7.57338e-06|   0.00021301|    21|
|  329|       54|      57|     13.8449|     13.8449|     0|       316|       2|      -3|      7333|     57.5      5000       329|      13.848|    81    130|  0.000223602|   0.00021301|    20|
|  332|       47|      58|     13.8451|     13.8489|     0|       259|       1|       2|      8809|      135      5000       332|      13.848|    66     83| -6.15444e-05|  0.000223602|    21|
|  329|       57|      59|     13.8449|     13.8482|     0|       238|       0|       2|      7333|        0         0         0|      13.848|    36     81| -1.13367e-05|   0.00021301|    20|
|  333|       55|      60|     13.8451|      13.847|     0|       163|       0|       2|      5920|        0         0         0|      13.848|   195    237|  7.06657e-05|   0.00021301|    19|
|  328|       57|      61|     13.8449|     13.8487|     0|       209|       2|       2|      7111|     40.5      5000       328|      13.848|    36     81| -5.06546e-05|  0.000200539|    18|
|  332|       55|      62|     13.8451|     13.8494|     0|       155|       0|       2|      5865|        0         0         0|      13.848|   195    237| -0.000102266|  0.000200539|    17|
|  334|       48|      63|     13.8452|     13.8454|     0|       270|       2|      -3|      7971|       25      4399       334|      13.848|   261    286|  0.000186932|  0.000174321|    16|
|  333|       48|      64|     13.8452|     13.8488|     0|       300|       2|       2|      8973|      9.5      5000       333|      13.848|   261    286| -5.65655e-05|  0.000186932|    17|
|  334|       63|      65|     13.8454|     13.8454|    -3|       248|       1|      -3|      7971|       47      5000       334|      13.848|    31     96|  0.000186932|  0.000174321|    16|
|  333|       63|      66|     13.8454|     13.8454|    -3|       220|       1|      -3|      7459|       82      5000       333|      13.848|    31     96|  0.000186932|  0.000186932|    17|
|  334|       65|      67|     13.8454|     13.8461|    -2|       229|       1|      -3|      7971|       48      5000       334|      13.848|    72    116|   0.00013731|  0.000186932|    18|
|  333|       66|      68|     13.8454|     13.8454|    -3|       216|       1|      -3|      7459|       89      5000       333|      13.848|    83    100|  0.000186932|  0.000186932|    19|
|  332|       66|      69|     13.8454|     13.8454|    -3|       182|       1|      -3|      6770|      115      5000       332|      13.848|    83    100|  0.000186932|  0.000186932|    20|
|  333|       68|      70|     13.8454|     13.8454|    -3|       211|       1|      -3|      7459|       91      5000       333|      13.848|   104    214|  0.000186932|  0.000186932|    21|
|  332|       69|      71|     13.8454|     13.8454|    -3|       175|       1|      -3|      6770|      100      5000       332|      13.848|   261    284|  0.000186932|  0.000186932|    22|
|  332|       71|      72|     13.8454|     13.8454|    -3|       208|       1|      -3|      6770|      122      5000       332|      13.848|   140    204|  0.000186932|  0.000186932|    23|
|  333|       70|      73|     13.8454|       13.85|     0|       237|       1|       2|      8843|       91      5000       333|      13.848|    50    115| -0.000146313|  0.000186932|    24|
|  332|       72|      74|     13.8454|     13.8492|     0|       220|       1|       2|      8696|      122      5000       332|      13.848|    50    105| -8.29767e-05|  0.000186932|    23|
|  331|       72|      75|     13.8454|     13.8473|     0|       408|       2|       2|      8530|      158      5000       331|      13.848|    50    105|  4.95985e-05|  0.000186932|    22|
|  331|       69|      76|     13.8454|     13.8454|    -3|       191|       1|      -3|      6579|      148      5000       331|      13.848|   261    284|  0.000186932|  0.000186932|    21|
|  331|       71|      77|     13.8454|     13.8513|     0|       158|       0|       2|      6621|        0         0         0|      13.848|   140    204| -0.000236692|  0.000186932|    22|
|  331|       76|      78|     13.8454|     13.8454|    -3|       212|       1|      -3|      6579|      150      5000       331|      13.848|   140    204|  0.000186932|  0.000186932|    21|
|  330|       76|      79|     13.8454|     13.8602|     0|       193|       1|       2|      7992|      193      5000       330|      13.848|   140    204| -0.000880319|  0.000186932|    22|
|  331|       78|      80|     13.8454|     13.8454|    -3|       261|       2|      -3|      8491|      107      5000       331|      13.848|    50    105|  0.000186932|  0.000186932|    21|
|  331|       80|      81|     13.8454|      13.852|     0|       214|       0|       2|      8491|        0         0         0|      13.848|    72    114| -0.000289945|  0.000186932|    22|
|  330|       78|      82|     13.8454|     13.8476|     0|       363|       2|       2|      8701|      177      5000       330|      13.848|    50    105|  2.87559e-05|  0.000186932|    21|
|  330|       80|      83|     13.8454|      13.853|     0|       270|       1|       2|      8697|       46      5000       330|      13.848|    72    114| -0.000359518|  0.000186932|    20|
|  333|       65|      84|     13.8454|     13.8478|     0|       331|       1|       2|      8775|       90      5000       333|      13.848|    72    116|  1.49734e-05|  0.000186932|    19|
|  332|       70|      85|     13.8454|     13.8469|     0|       244|       1|       2|      8605|      116      5000       332|      13.848|    50    115|  7.75572e-05|  0.000174321|    18|
|  332|       68|      86|     13.8454|     13.8482|     0|       332|       2|       2|      8518|      128      5000       332|      13.848|   104    214| -1.49066e-05|  0.000174321|    17|
|  331|       53|      87|     13.8456|      13.847|     0|       192|       2|       2|      3418|        2      3059       331|      13.848|    36     40|  7.72823e-05|  0.000161915|    16|
|  330|       53|      88|     13.8456|     13.8457|     0|       264|       3|      -3|      7138|  22.6667      3680       330|      13.848|    36     40|  0.000166759|  0.000161915|    15|
|  335|       41|      89|     13.8458|     13.8478|     0|       177|       1|       2|      8284|        0      5000       335|      13.848|    96    116|  1.66936e-05|  0.000166759|    16|
|  330|       88|      90|     13.8457|     13.8468|     0|       224|       0|       2|      7138|        0         0         0|      13.848|    81    138|  8.67603e-05|  0.000161915|    15|
|  329|       88|      91|     13.8457|     13.8466|    -2|       237|       1|       2|      7337|       40      5000       329|      13.848|    81    138|  9.96544e-05|  0.000161136|    14|
|  334|       41|      92|     13.8458|     13.8458|     0|       331|       3|      -3|      7967|       41      5000       334|      13.848|    96    116|  0.000161915|  0.000161136|    13|
|  334|       15|      93|     13.8458|     13.8468|     0|       306|       0|       2|      8907|        0         0         0|      13.848|    93    104|   8.9039e-05|  0.000161915|    14|
|  334|       92|      94|     13.8458|     13.8483|     0|       165|       0|       2|      7967|        0         0         0|      13.848|    31     96| -2.17633e-05|  0.000161136|    13|
|  333|       92|      95|     13.8458|     13.8458|     0|       431|       3|      -3|      7710|       53      5000       333|      13.848|    31     96|  0.000161915|  0.000159548|    12|
|  333|       15|      96|     13.8458|     13.8476|     0|       418|       3|       2|      8022|       57      5000       333|      13.848|    93    104|  2.73421e-05|  0.000161915|    13|
|  333|       95|      97|     13.8458|     13.8464|     0|       302|       2|      -3|      8075|       30      5000       333|      13.848|    83    133|  0.000113692|  0.000159548|    12|
|  332|       95|      98|     13.8458|     13.8458|     0|       250|       2|      -3|      7883|     62.5      5000       332|      13.848|    83    133|  0.000161915|  0.000159548|    13|
|  332|       98|      99|     13.8458|     13.8487|     0|       242|       0|       2|      7883|        0         0         0|      13.848|    31     83| -4.65824e-05|  0.000161915|    14|
|  331|       33|     100|     13.8458|     13.8458|     0|       333|       2|      -3|      7716|       54      5000       331|      13.848|    27    103|  0.000159548|  0.000159548|    13|
|  331|       98|     101|     13.8458|     13.8493|     0|       218|       2|       2|      7428|     96.5      5000       331|      13.848|    31     83| -8.92389e-05|  0.000159548|    15|

WALL_TIME: 17179 sec
N_NODES: 102
AVG_INEQ: 4301.46
AVG_CP_ITER: 1.66667
ROOT_GAP: 0.00101339
GAP: 0.000159548
BEST: 13.848

[matrix size: 336x8; n_nonzero: 336; density: 12.5%]

    (145, 0)          1.0000
    (156, 0)          1.0000
    (157, 0)          1.0000
    (162, 0)          1.0000
    (165, 0)          1.0000
    (168, 0)          1.0000
    (171, 0)          1.0000
    (174, 0)          1.0000
    (176, 0)          1.0000
    (177, 0)          1.0000
    (178, 0)          1.0000
    (180, 0)          1.0000
    (181, 0)          1.0000
    (184, 0)          1.0000
    (186, 0)          1.0000
    (187, 0)          1.0000
    (189, 0)          1.0000
    (191, 0)          1.0000
    (194, 0)          1.0000
    (195, 0)          1.0000
    (198, 0)          1.0000
    (200, 0)          1.0000
    (205, 0)          1.0000
    (209, 0)          1.0000
    (210, 0)          1.0000
    (218, 0)          1.0000
    (219, 0)          1.0000
    (221, 0)          1.0000
    (224, 0)          1.0000
    (225, 0)          1.0000
    (226, 0)          1.0000
    (227, 0)          1.0000
    (228, 0)          1.0000
    (229, 0)          1.0000
    (230, 0)          1.0000
    (231, 0)          1.0000
    (232, 0)          1.0000
    (233, 0)          1.0000
    (234, 0)          1.0000
    (235, 0)          1.0000
    (236, 0)          1.0000
    (237, 0)          1.0000
    (238, 0)          1.0000
    (239, 0)          1.0000
    (240, 0)          1.0000
    (241, 0)          1.0000
    (242, 0)          1.0000
    (243, 0)          1.0000
    (244, 0)          1.0000
    (246, 0)          1.0000
    (247, 0)          1.0000
    (248, 0)          1.0000
    (249, 0)          1.0000
    (250, 0)          1.0000
    (252, 0)          1.0000
    (253, 0)          1.0000
    (254, 0)          1.0000
    (255, 0)          1.0000
    (256, 0)          1.0000
    (258, 0)          1.0000
    (314, 0)          1.0000
      (2, 1)          1.0000
      (3, 1)          1.0000
      (5, 1)          1.0000
     (13, 1)          1.0000
     (19, 1)          1.0000
     (22, 1)          1.0000
     (28, 1)          1.0000
     (29, 1)          1.0000
     (30, 1)          1.0000
     (31, 1)          1.0000
     (32, 1)          1.0000
     (33, 1)          1.0000
     (37, 1)          1.0000
     (42, 1)          1.0000
     (44, 1)          1.0000
     (47, 1)          1.0000
     (50, 1)          1.0000
     (54, 1)          1.0000
     (55, 1)          1.0000
     (56, 1)          1.0000
     (57, 1)          1.0000
     (58, 1)          1.0000
     (59, 1)          1.0000
     (61, 1)          1.0000
     (64, 1)          1.0000
     (67, 1)          1.0000
     (71, 1)          1.0000
     (72, 1)          1.0000
     (76, 1)          1.0000
     (81, 1)          1.0000
     (86, 1)          1.0000
     (87, 1)          1.0000
     (88, 1)          1.0000
     (89, 1)          1.0000
     (94, 1)          1.0000
     (96, 1)          1.0000
     (97, 1)          1.0000
     (99, 1)          1.0000
    (106, 1)          1.0000
    (107, 1)          1.0000
    (108, 1)          1.0000
    (116, 1)          1.0000
    (124, 1)          1.0000
    (127, 1)          1.0000
    (129, 1)          1.0000
    (131, 1)          1.0000
    (257, 1)          1.0000
    (327, 1)          1.0000
    (146, 2)          1.0000
    (147, 2)          1.0000
    (148, 2)          1.0000
    (149, 2)          1.0000
    (150, 2)          1.0000
    (151, 2)          1.0000
    (152, 2)          1.0000
    (153, 2)          1.0000
    (155, 2)          1.0000
    (158, 2)          1.0000
    (159, 2)          1.0000
    (160, 2)          1.0000
    (161, 2)          1.0000
    (163, 2)          1.0000
    (164, 2)          1.0000
    (166, 2)          1.0000
    (167, 2)          1.0000
    (169, 2)          1.0000
    (170, 2)          1.0000
    (172, 2)          1.0000
    (173, 2)          1.0000
    (175, 2)          1.0000
    (179, 2)          1.0000
    (185, 2)          1.0000
    (188, 2)          1.0000
    (190, 2)          1.0000
    (192, 2)          1.0000
    (193, 2)          1.0000
    (196, 2)          1.0000
    (197, 2)          1.0000
    (199, 2)          1.0000
    (201, 2)          1.0000
    (202, 2)          1.0000
    (203, 2)          1.0000
    (204, 2)          1.0000
    (206, 2)          1.0000
    (207, 2)          1.0000
    (208, 2)          1.0000
    (211, 2)          1.0000
    (245, 2)          1.0000
     (95, 3)          1.0000
     (98, 3)          1.0000
    (212, 3)          1.0000
    (217, 3)          1.0000
    (220, 3)          1.0000
    (262, 3)          1.0000
    (264, 3)          1.0000
    (284, 3)          1.0000
    (285, 3)          1.0000
    (286, 3)          1.0000
    (287, 3)          1.0000
    (288, 3)          1.0000
    (289, 3)          1.0000
    (290, 3)          1.0000
    (291, 3)          1.0000
    (292, 3)          1.0000
    (293, 3)          1.0000
    (294, 3)          1.0000
    (295, 3)          1.0000
    (296, 3)          1.0000
    (297, 3)          1.0000
    (298, 3)          1.0000
    (299, 3)          1.0000
    (301, 3)          1.0000
    (302, 3)          1.0000
    (303, 3)          1.0000
    (304, 3)          1.0000
    (305, 3)          1.0000
    (307, 3)          1.0000
    (308, 3)          1.0000
    (309, 3)          1.0000
    (310, 3)          1.0000
    (311, 3)          1.0000
    (312, 3)          1.0000
    (313, 3)          1.0000
    (315, 3)          1.0000
    (316, 3)          1.0000
    (317, 3)          1.0000
    (318, 3)          1.0000
    (319, 3)          1.0000
    (320, 3)          1.0000
    (321, 3)          1.0000
    (322, 3)          1.0000
    (323, 3)          1.0000
    (324, 3)          1.0000
    (326, 3)          1.0000
    (328, 3)          1.0000
    (331, 3)          1.0000
    (332, 3)          1.0000
    (333, 3)          1.0000
    (334, 3)          1.0000
    (335, 3)          1.0000
      (0, 4)          1.0000
      (4, 4)          1.0000
      (6, 4)          1.0000
      (7, 4)          1.0000
      (9, 4)          1.0000
     (10, 4)          1.0000
     (11, 4)          1.0000
     (12, 4)          1.0000
     (14, 4)          1.0000
     (16, 4)          1.0000
     (18, 4)          1.0000
     (20, 4)          1.0000
     (21, 4)          1.0000
     (23, 4)          1.0000
     (24, 4)          1.0000
     (26, 4)          1.0000
     (34, 4)          1.0000
     (36, 4)          1.0000
     (38, 4)          1.0000
     (39, 4)          1.0000
     (40, 4)          1.0000
     (43, 4)          1.0000
     (48, 4)          1.0000
     (49, 4)          1.0000
     (51, 4)          1.0000
     (63, 4)          1.0000
     (66, 4)          1.0000
     (68, 4)          1.0000
     (70, 4)          1.0000
     (73, 4)          1.0000
     (74, 4)          1.0000
     (75, 4)          1.0000
     (78, 4)          1.0000
     (80, 4)          1.0000
     (82, 4)          1.0000
     (91, 4)          1.0000
     (92, 4)          1.0000
     (93, 4)          1.0000
    (100, 4)          1.0000
    (102, 4)          1.0000
    (103, 4)          1.0000
    (104, 4)          1.0000
    (109, 4)          1.0000
    (110, 4)          1.0000
    (112, 4)          1.0000
    (113, 4)          1.0000
    (114, 4)          1.0000
    (115, 4)          1.0000
    (117, 4)          1.0000
    (120, 4)          1.0000
    (121, 4)          1.0000
    (122, 4)          1.0000
    (123, 4)          1.0000
    (126, 4)          1.0000
    (128, 4)          1.0000
    (132, 4)          1.0000
    (133, 4)          1.0000
    (135, 4)          1.0000
    (136, 4)          1.0000
    (137, 4)          1.0000
    (138, 4)          1.0000
    (139, 4)          1.0000
    (142, 4)          1.0000
    (300, 4)          1.0000
      (1, 5)          1.0000
      (8, 5)          1.0000
     (15, 5)          1.0000
     (17, 5)          1.0000
     (25, 5)          1.0000
     (27, 5)          1.0000
     (35, 5)          1.0000
     (41, 5)          1.0000
     (45, 5)          1.0000
     (46, 5)          1.0000
     (52, 5)          1.0000
     (53, 5)          1.0000
     (60, 5)          1.0000
     (62, 5)          1.0000
     (65, 5)          1.0000
     (69, 5)          1.0000
     (77, 5)          1.0000
     (79, 5)          1.0000
     (83, 5)          1.0000
     (84, 5)          1.0000
     (85, 5)          1.0000
     (90, 5)          1.0000
    (101, 5)          1.0000
    (105, 5)          1.0000
    (111, 5)          1.0000
    (118, 5)          1.0000
    (119, 5)          1.0000
    (125, 5)          1.0000
    (130, 5)          1.0000
    (134, 5)          1.0000
    (140, 5)          1.0000
    (141, 5)          1.0000
    (143, 5)          1.0000
    (144, 5)          1.0000
    (154, 5)          1.0000
    (183, 5)          1.0000
    (213, 5)          1.0000
    (214, 5)          1.0000
    (215, 5)          1.0000
    (216, 5)          1.0000
    (325, 5)          1.0000
    (330, 5)          1.0000
    (182, 6)          1.0000
    (222, 6)          1.0000
    (223, 6)          1.0000
    (251, 6)          1.0000
    (274, 6)          1.0000
    (279, 6)          1.0000
    (280, 6)          1.0000
    (281, 6)          1.0000
    (282, 6)          1.0000
    (283, 6)          1.0000
    (259, 7)          1.0000
    (260, 7)          1.0000
    (261, 7)          1.0000
    (263, 7)          1.0000
    (265, 7)          1.0000
    (266, 7)          1.0000
    (267, 7)          1.0000
    (268, 7)          1.0000
    (269, 7)          1.0000
    (270, 7)          1.0000
    (271, 7)          1.0000
    (272, 7)          1.0000
    (273, 7)          1.0000
    (275, 7)          1.0000
    (276, 7)          1.0000
    (277, 7)          1.0000
    (278, 7)          1.0000
    (306, 7)          1.0000
    (329, 7)          1.0000

